model_variant,latent_dim,seed,fold_id,target,donor_id,y_true,y_pred
programming_only_pca_jepa,8,107,1,AT8,H20.33.001,0.053114626,0.8632309193119856
programming_only_pca_jepa,8,107,1,AT8,H20.33.004,0.9100716,1.7110692724602852
programming_only_pca_jepa,8,107,1,AT8,H20.33.005,0.113147487,0.9460653479203862
programming_only_pca_jepa,8,107,1,AT8,H20.33.034,0.024581404,1.5216103471742874
programming_only_pca_jepa,8,107,1,AT8,H20.33.040,0.05606376,1.0804137452874258
programming_only_pca_jepa,8,107,1,AT8,H20.33.046,1.666672955,1.3611732277579762
programming_only_pca_jepa,8,107,1,AT8,H21.33.007,5.382839956,2.035568765148663
programming_only_pca_jepa,8,107,1,AT8,H21.33.009,4.22259745,0.37903421024792294
programming_only_pca_jepa,8,107,1,AT8,H21.33.010,2.887391692,1.2802102611121953
programming_only_pca_jepa,8,107,1,AT8,H21.33.014,0.045866304,0.09281145811667191
programming_only_pca_jepa,8,107,1,AT8,H21.33.025,0.090378507,1.6027646918033684
programming_only_pca_jepa,8,107,1,AT8,H21.33.033,2.992553952,1.068397762577318
programming_only_pca_jepa,8,107,1,AT8,H21.33.038,0.006603551,0.4398616034693599
programming_only_pca_jepa,8,107,1,AT8,H21.33.040,3.173003567,0.9534429169541718
programming_only_pca_jepa,8,107,1,AT8,H21.33.041,0.454189024,0.6768910668641146
programming_only_pca_jepa,8,107,1,AT8,H21.33.043,0.028482753,1.5290770597962031
programming_only_pca_jepa,8,107,1,AT8,H21.33.045,6.924529518,2.7035544361915194
programming_only_pca_jepa,8,107,1,6e10/A_beta,H20.33.001,0.12824423,2.197609707201884
programming_only_pca_jepa,8,107,1,6e10/A_beta,H20.33.004,1.678467763,4.127770782816706
programming_only_pca_jepa,8,107,1,6e10/A_beta,H20.33.005,0.168045591,3.257402236041325
programming_only_pca_jepa,8,107,1,6e10/A_beta,H20.33.034,0.233687244,2.2927064011427505
programming_only_pca_jepa,8,107,1,6e10/A_beta,H20.33.040,1.505708265,3.1106550975787375
programming_only_pca_jepa,8,107,1,6e10/A_beta,H20.33.046,2.107489042,3.2302693789156693
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.007,1.472427711,4.385851638382295
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.009,4.201598271,3.725527383778112
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.010,5.553367866,3.228281435151869
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.014,2.889335118,2.5489574236363364
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.025,0.003521124,2.1891923902573636
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.033,10.75596125,2.5637766615857673
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.038,0.0,2.0348113216432417
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.040,3.044747366,3.2414901083758565
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.041,0.119973881,1.3899177192477765
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.043,1.577091086,1.7319214256677902
programming_only_pca_jepa,8,107,1,6e10/A_beta,H21.33.045,3.261146895,5.130613655460417
programming_only_pca_jepa,8,107,1,GFAP,H20.33.001,1.297575839,6.768689593958963
programming_only_pca_jepa,8,107,1,GFAP,H20.33.004,7.764711727,8.910331008443663
programming_only_pca_jepa,8,107,1,GFAP,H20.33.005,1.954204394,6.497764269549124
programming_only_pca_jepa,8,107,1,GFAP,H20.33.034,2.383895376,7.75349227940242
programming_only_pca_jepa,8,107,1,GFAP,H20.33.040,1.680023713,7.0722963069518
programming_only_pca_jepa,8,107,1,GFAP,H20.33.046,5.894041872,5.873012946915021
programming_only_pca_jepa,8,107,1,GFAP,H21.33.007,5.521039863,9.389963162393284
programming_only_pca_jepa,8,107,1,GFAP,H21.33.009,9.977929113,8.073680733993736
programming_only_pca_jepa,8,107,1,GFAP,H21.33.010,8.716825634,6.689021657969204
programming_only_pca_jepa,8,107,1,GFAP,H21.33.014,12.81945045,7.9351738475210745
programming_only_pca_jepa,8,107,1,GFAP,H21.33.025,3.673062039,6.91047456951411
programming_only_pca_jepa,8,107,1,GFAP,H21.33.033,6.146626863,4.531392562005555
programming_only_pca_jepa,8,107,1,GFAP,H21.33.038,0.981970599,3.757860051933642
programming_only_pca_jepa,8,107,1,GFAP,H21.33.040,8.154648483,7.81720032904247
programming_only_pca_jepa,8,107,1,GFAP,H21.33.041,4.900338195,5.251198054614135
programming_only_pca_jepa,8,107,1,GFAP,H21.33.043,1.676257874,6.807529977199853
programming_only_pca_jepa,8,107,1,GFAP,H21.33.045,16.31359485,8.771356723812293
programming_only_pca_jepa,8,107,1,Iba1,H20.33.001,4.510429237,4.03440389306161
programming_only_pca_jepa,8,107,1,Iba1,H20.33.004,5.348567263,4.312731383040263
programming_only_pca_jepa,8,107,1,Iba1,H20.33.005,3.799753301,4.421518839263258
programming_only_pca_jepa,8,107,1,Iba1,H20.33.034,2.076656194,4.55100469409088
programming_only_pca_jepa,8,107,1,Iba1,H20.33.040,3.705694053,4.736690417052679
programming_only_pca_jepa,8,107,1,Iba1,H20.33.046,1.591359154,3.115481823580869
programming_only_pca_jepa,8,107,1,Iba1,H21.33.007,4.49607682,4.227846764695465
programming_only_pca_jepa,8,107,1,Iba1,H21.33.009,4.17471966,5.816425021910575
programming_only_pca_jepa,8,107,1,Iba1,H21.33.010,3.63883636,4.412428740520213
programming_only_pca_jepa,8,107,1,Iba1,H21.33.014,5.816597407,3.9299532259333816
programming_only_pca_jepa,8,107,1,Iba1,H21.33.025,4.896030473,4.9053081764263755
programming_only_pca_jepa,8,107,1,Iba1,H21.33.033,3.937066762,3.43320029617221
programming_only_pca_jepa,8,107,1,Iba1,H21.33.038,2.938929588,3.1803368836641654
programming_only_pca_jepa,8,107,1,Iba1,H21.33.040,3.13064423,3.9490504460619014
programming_only_pca_jepa,8,107,1,Iba1,H21.33.041,3.444246513,2.930453099768787
programming_only_pca_jepa,8,107,1,Iba1,H21.33.043,2.552773483,3.919793033196176
programming_only_pca_jepa,8,107,1,Iba1,H21.33.045,6.44983744,4.473224620055142
programming_only_pca_jepa,8,107,1,NeuN,H20.33.001,2.473382929,2.938625047905577
programming_only_pca_jepa,8,107,1,NeuN,H20.33.004,2.930781351,3.132105135727664
programming_only_pca_jepa,8,107,1,NeuN,H20.33.005,0.04433574,1.9476277054248892
programming_only_pca_jepa,8,107,1,NeuN,H20.33.034,3.717418763,3.6165820248479195
programming_only_pca_jepa,8,107,1,NeuN,H20.33.040,4.211083139,2.944881193000451
programming_only_pca_jepa,8,107,1,NeuN,H20.33.046,1.07813983,2.091782053484515
programming_only_pca_jepa,8,107,1,NeuN,H21.33.007,4.624630672,2.1960414940734148
programming_only_pca_jepa,8,107,1,NeuN,H21.33.009,0.392668616,2.4695359430883435
programming_only_pca_jepa,8,107,1,NeuN,H21.33.010,5.467018592,2.842236849687062
programming_only_pca_jepa,8,107,1,NeuN,H21.33.014,2.39512303,4.213785006638652
programming_only_pca_jepa,8,107,1,NeuN,H21.33.025,2.341966022,2.4625270741468257
programming_only_pca_jepa,8,107,1,NeuN,H21.33.033,2.225609088,1.9280086253832325
programming_only_pca_jepa,8,107,1,NeuN,H21.33.038,3.510890244,2.96861414187112
programming_only_pca_jepa,8,107,1,NeuN,H21.33.040,4.403509,3.177906971646767
